"Title"	"Artist"	"Time"	"Date"	"Album"	"Composers"	"url"	"spotify_id"	"spotify_uri"
"Lungs"	"Valery Gore"	"11:22pm"	2016-06-17	"Idols In The Dark Heart"	" Valery Gore"	"https://open.spotify.com/track/0ZWuNNaFG9kCkHR5N5M1c4"	"0ZWuNNaFG9kCkHR5N5M1c4"	"spotify:track:0ZWuNNaFG9kCkHR5N5M1c4"
"Doing The Right Thing"	"Daughter"	"11:26pm"	2016-06-17	"Doing The Right Thing (Single)"	" Elena Tonra, Remi Aguilella, Igor Haefeli"	"https://open.spotify.com/track/2X8DqCikgiVk3214hbHEpz"	"2X8DqCikgiVk3214hbHEpz"	"spotify:track:2X8DqCikgiVk3214hbHEpz"
"Sanctus"	"Halls"	"11:31pm"	2016-06-17	"Love To Give"	"Halls"	"https://open.spotify.com/track/0HPYrlf75EmO2Qsr8EwQXs"	"0HPYrlf75EmO2Qsr8EwQXs"	"spotify:track:0HPYrlf75EmO2Qsr8EwQXs"
"Waves"	"River Tiber"	"11:36pm"	2016-06-17	"When The Time Is Right"	"Kwikfiks,River Tiber"	"https://open.spotify.com/track/5tQJ9KoW5DM0DbvRy28hcw"	"5tQJ9KoW5DM0DbvRy28hcw"	"spotify:track:5tQJ9KoW5DM0DbvRy28hcw"
"Strange Emotion"	"Jessy Lanza"	"11:41pm"	2016-06-17	"Pull My Hair Back"	" Jessy Lanza, Jeremy Greenspan"	"https://open.spotify.com/track/2zDfnGE4rOMpULUDEuqqNi"	"2zDfnGE4rOMpULUDEuqqNi"	"spotify:track:2zDfnGE4rOMpULUDEuqqNi"
"And Then It Rained"	"Bing & Ruth"	"11:46pm"	2016-06-17	"City Lake"	" David Moore"	"https://open.spotify.com/track/6uXVIBmojLA2TiNLp9tLjm"	"6uXVIBmojLA2TiNLp9tLjm"	"spotify:track:6uXVIBmojLA2TiNLp9tLjm"
"Pressure"	"Milk And Bone"	"11:51pm"	2016-06-17	"Pressure (Single)"	" Laurence Beaulne Lafond, Camille Poliquin"	"https://open.spotify.com/track/4qzYvygruuhl7Zxv2T6X84"	"4qzYvygruuhl7Zxv2T6X84"	"spotify:track:4qzYvygruuhl7Zxv2T6X84"
"Logan's Loop"	"Andrew Bird"	"11:55pm"	2016-06-17	"I Want To See Pulaski At Night"	" Andrew Bird"	"https://open.spotify.com/track/1boaHHVRSOf7D1WVHwPrwk"	"1boaHHVRSOf7D1WVHwPrwk"	"spotify:track:1boaHHVRSOf7D1WVHwPrwk"
"Clackity Clack"	"Michael Feuerstack"	"11:56pm"	2016-06-17	"The Forgettable Truth"	" Michael Feuerstack"	"https://open.spotify.com/track/61YRvKBxrqBSDv9WdrG6Xa"	"61YRvKBxrqBSDv9WdrG6Xa"	"spotify:track:61YRvKBxrqBSDv9WdrG6Xa"
"Satellite"	"Sara Hartman"	"12:30am"	2016-06-17	"Satellite Ep"	" Sara Hartman"	"https://open.spotify.com/track/0er805X1yh4Ndr15dzV675"	"0er805X1yh4Ndr15dzV675"	"spotify:track:0er805X1yh4Ndr15dzV675"
"When The Saints Go Marching In"	"Dave Bennett"	"10pm"	2016-06-18	"Don't Be That Way"	" Virgil Oliver Stamps, Luther Presley"	"https://open.spotify.com/track/73oo56NuM5jHgcxcREHXiz"	"73oo56NuM5jHgcxcREHXiz"	"spotify:track:73oo56NuM5jHgcxcREHXiz"
"Five O'clock Shadow"	"Daniel Barnes"	"10:05pm"	2016-06-18	"Culmination"	" Daniel Barnes"	"https://open.spotify.com/track/0frJBzHPwvTCH3cE1pHmhE"	"0frJBzHPwvTCH3cE1pHmhE"	"spotify:track:0frJBzHPwvTCH3cE1pHmhE"
"Cheek To Cheek"	"Ella Fitzgerald"	"10:10pm"	2016-06-18	"Ella Fitzgerald: The Irving Berl"	NA	"https://open.spotify.com/track/1gcuhZPKmTYvn5VT5EZLR6"	"1gcuhZPKmTYvn5VT5EZLR6"	"spotify:track:1gcuhZPKmTYvn5VT5EZLR6"
"Moten Swing"	"Benny Carter"	"10:14pm"	2016-06-18	"Benny Carter And The Jazz Giants"	" Eddie Durham, Count Basie"	"https://open.spotify.com/track/4BdsnXbfgE2X9P0LHvfE33"	"4BdsnXbfgE2X9P0LHvfE33"	"spotify:track:4BdsnXbfgE2X9P0LHvfE33"
"Sweet Georgia Brown"	"Michael Kaeshammer"	"10:25pm"	2016-06-18	"Tell You How I Feel"	"Guido Basso"	NA	NA	NA
